$118,$07,$11C,$07,$11C,$07,$11C,$07,$11C,$07,$11C,$07,$11C,$07,$11C,$07,$11C,$07,$11C,$07,$11C,$07,$11C,$07,$11C,$07,$11C,$07,$11C,$07,$11C,$07,$11C,$07,$11C,$07,$11C,$07,$119,$07
$11E,$07,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$10B,$07,$11F,$07
$11E,$07,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$11F,$07
$11E,$07,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$11F,$07
$11E,$07,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$11F,$07
$11E,$07,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$11F,$07
$11E,$07,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$11F,$07
$11E,$07,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$10C,$07,$11F,$07
$11A,$07,$11D,$07,$11D,$07,$11D,$07,$11D,$07,$11D,$07,$11D,$07,$11D,$07,$11D,$07,$11D,$07,$11D,$07,$11D,$07,$11D,$07,$11D,$07,$11D,$07,$11D,$07,$11D,$07,$11D,$07,$11D,$07,$11B,$07
$0EF,$04,$0F0,$04,$0F0,$04,$0F0,$04,$0F0,$04,$0F0,$04,$0F0,$04,$0F0,$04,$0F0,$04,$0F0,$04,$0F0,$04,$0F0,$04,$0F0,$04,$0F0,$04,$0F0,$04,$0F0,$04,$0F0,$04,$0F0,$04,$0F0,$04,$0F1,$04
$0FE,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0FF,$04
$0FE,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0FF,$04
$0FE,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0FF,$04
$0FE,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0D6,$04,$0FF,$04
$005,$04,$006,$04,$006,$04,$006,$04,$006,$04,$006,$04,$006,$04,$006,$04,$006,$04,$006,$04,$006,$04,$006,$04,$006,$04,$006,$04,$006,$04,$006,$04,$006,$04,$006,$04,$006,$04,$007,$04
$0CF,$00,$0CF,$00,$0CF,$00,$0CF,$00,$0CF,$00,$0D1,$00,$0CF,$00,$0CF,$00,$0CF,$00,$0CF,$00,$0CF,$00,$0CF,$00,$0CF,$00,$0CF,$00,$0CF,$00,$0CF,$00,$0CF,$00,$0CF,$00,$0CF,$00,$0CF,$00
$0DB,$03,$191,$03,$192,$03,$1E3,$03,$1F1,$03,$0E0,$00,$0DB,$03,$0DB,$03,$0DB,$03,$0DB,$03,$0D8,$00,$1E1,$03,$18F,$03,$1EC,$03,$1DF,$03,$0D9,$00,$0DB,$03,$0DB,$03,$0DB,$03,$0DB,$03
$0DB,$03,$0DB,$03,$0DB,$03,$0DB,$03,$0DB,$03,$0E0,$00,$0DB,$03,$0DB,$03,$0DB,$03,$0DB,$03,$0DB,$03,$0DB,$03,$0DB,$03,$0DB,$03,$0DB,$03,$0DB,$03,$0DB,$03,$0DB,$03,$0DB,$03,$0DB,$03
